citation_id,new_classification,changed,rationale
6f25090dd47ee7aedee6ddca8489e5613d8f7fa4>1366ce12702c944132d001687411010c2f899bf2_0,comparison,no,Supportive comparison with other studies' results
f8d81a9b7e4083024fef36d89cba85f1fc2c7842>5afb71774fc0718a25156179281edaa7a330c9c0_0,comparison,no,In line with another study's finding
2ba116e393bc75d3dd151a81218c50ec9aca9126>a77404f1db62c674230a389e656e5ab35b58f18e_0,comparison,no,Complements results from other trials
9501571bc1e436ce1c36d2b62fdb3c8767c93661>702757e8d5b16704d1e0a0f2351cf393110603bb_5,background,yes,"Describes cited work's own contribution, not reused"
d7826c58354a979e9fa052f6e19bef4a8ab65f06>f7d7c5e9c19c62783efe129f6c612bd8f31e6a88_0,background,yes,"Notes another paper's relation to ENCODE, not citing paper's"
9748b7d6184c8e604c5fef5b56bf145e9739e47f>344424ebb831a25317094149d174c3b18eaa31b4_0,comparison,no,Similar results found in another organism/context
21bd7d69cc8b712ccb6fc542c09bc4401dd43570>f400a5c8b531455faae6ed2bfac2093fad8c6c4d_0,comparison,no,Values comparable to other reports
b4600f3270e040eedacd8619c1400a77ab001ef7>fff94a0ce14254174dfc1a313b6af1b324b8a21e_0,methodology,no,Adapts/modifies cited instrument (CHLT-30)
887281910e39c14ab986cfb8543b2230ca9a9599>bd9c815efd811ac826d99e2dcdc94fc1fcaa43d0_0,comparison,no,Many studies replicated similar results
d9ef5d1cb543d0f1330908b36f7106f23cbad404>ae7c65d4d7710bf5f36309faea886648f9a51d4a_0,comparison,no,Results consistent with prior study
bdb7868353f9b5133947191487e8569a97aacf30>ce1b27189411624333ed9d53e0465f7dd77ba74c_0,usage,yes,Transgenic animal lines obtained and used
804e51c61743ca863b90621bcb09173c915816bf>7ee57188039704c590209dc6c2b6c6098befe66e_10,comparison,no,"Notes difference in results between studies, explains it"
c37ea0cea6498f238a4cd1b7afe932842c22cb4d>c32b5e1066b0a4acf5bb91b5534a7e7b57099206_1,background,yes,General theoretical formalism given as context
fe677d2f86d623b3dfc92f060bd8d0d2a0ea413d>548992f59f682a83a671e7f288f7aa574580d4a5_8,comparison,no,Value compared to previously reported values
97f039b4a9748884cf0892b542b9a3f0fa43b438>83e7c7909ed8e1c4b9ceefc55004a863c0d80052_4,comparison,no,Consistent with prior work on context effects
e2b2d980eca45afade166f1319e17816b6b77431>dfd16c90cae7741d0eb7642b968690b59d3e24dc_0,comparison,no,Consistent with previous literature results
b8c33373f52ff7a709adb570518a91323e3a6dcc>89572f6ef4aeafabe21f2fdcda407ccdd678df7f_0,comparison,no,Similar findings in comparative study of countries
9ca700dc0972f951dc83b224eb1950321e7eeacf>9b9a6489172c1f564927c29b243276ad5ec131a8_1,usage,yes,Fixed effects model directly applied to compute coefficient
269efae8e576dc3357078717264167731f6667a9>1c5ca8a58f464e3d4fbb69dd47c5d97e1b3bb13a_0,comparison,no,Comparable results from another imaging study
40d72f061e454a119ab1d11c5c60b5bf0fad81db>None_0,comparison,no,Interpretation similar to prior authors' findings
28b9b7599e564dd44c5b997adf46c5c9cb9b1377>005a473a7d50814813dfc4cbf86c8ad1444e3fc3_0,background,yes,Reports prior studies' findings as context
70bf8246ceae19f097f2a2aeff16c06b5ba97a77>0b4bbdda783fd49f6ff7ea2195e272edb4864308_4,methodology,no,"System's methodology reused, described elsewhere"
7b402c04c69e1719b7a5e3ec722f4b20a655b222>86aaef532a0a99a86d83d3b10cf229ce7c45c31d_0,usage,yes,dN/dS calculated using codeml software from PAML
7b84de729396dafbd9902a863813cf07ddff699a>d008272a8213ee67673e986a23e99d14ca836958_1,comparison,yes,Neutral quantitative comparison of learning window duration
b2ec0f1621f2f4fba1d4d2f482c8f2380af5bc16>a2393d6e910b41d2456d1d794b42b5546b863094_4,comparison,no,Improvement compared to earlier survey result
0c5b551e43b479c46e3895f24a85059717d0abf1>e4a2e0c4b3cd1f2a1f5c8297cf9ba21f7c29acdd_0,background,yes,Prior finding cited as rationale for choice of p21
469c06abd3750c350bc146e68c917ee4d08da285>524e3c399cd981b38303689b2d59a5a0622c4c78_0,comparison,no,Compares own results to other gene-based findings
5ddd341c20f323d736e9b3899ad20561c9bdbeea>8f2cfced117e54b3e1ba97b0e43f34e0ec747952_10,usage,yes,Protocol from cited works directly employed
c5cd91167a110b0d6483b9dc5b951a5bb7d1b496>b1e812f54dc615cf1d757f542c3a100356b64653_0,extension,yes,Paper evolves/generalizes prior PCL model to new domain
30c1ccdc46b8b0062264ce95fd56aeb8a73c299d>60339ee4d2175f9c102ac285f00c9d4ff199b649_0,usage,yes,Specific inventory instrument administered
0244271bdaa0e6ab1e8fc29070662d6b00746f1f>None_0,comparison,no,Agrees with other studies on cuticle thickness
54e6b25c6ee25daec13f9f85d80f2cd2aaca3d2f>2563a861abc0101d83344aef8dd4065f547a6784_0,comparison,no,Results confirm previous studies' conclusions
fba34a8472f07b4833464437d785cfdd621cb873>670ed96d6736ff927a84d766caef1850b508628a_0,usage,yes,Cognitive function measured using cited task battery
891c43de74b0699fb6d1c109b7cac6ef9ad19649>ea74c2054161a25e24fcb0f01f46def4edd09d88_6,comparison,no,Carriage rate compared numerically to other studies
6438d8db1ba327e0b7be10d2ad282376590fdc7c>7e4fc4b15f1783bf8c55a65e1ebb467486b77f2a_1,methodology,no,Describes validity/reliability evaluation procedure
27e24ba50f355186dc337161ca2c813b25518c8a>1135db463febaf74ff810c02e051556b250f0772_1,usage,yes,Same knock-out system from cited work employed
c7b8a63d5ba2f37390d25360d4b9a16450d0448e>None_0,comparison,no,Results concordant with other studies' explanatory power
9603345c16128556c07411ba3fb7670ca7a16bbb>59740a2116bbecc511c30b3b1a23b6c33d7a5108_2,usage,yes,HapMap dataset directly downloaded and used
0f445feb2e23bc591d3170d6f41fa67157acb497>None_0,comparison,no,Results agree with cited study's relation
48efd0b4da7649dc865f6ea10a54e78004bb6b0a>5e9bdbeb12fb3d726cc5f6caaa0bb85e4319644e_0,comparison,no,Own results coincide with previously reported finding
0e42a8b0c3b1f40f00a00fdded40aac605e89595>None_0,comparison,no,Similar result obtained as in cited park study
291ca965a80c0b484e70533599b2898f3c9b7cf7>63daf1741972395162371e6e9bf12348828cfe44_13,extension,yes,Extends own prior local-scale analysis to smaller scale
1c10a64f53f043d581816fb077e32d602c948a23>e10338780d2ac5d21d34993dcde7c6123f8078a6_0,comparison,no,Notes novel observation absent from prior studies
aeb178ef1910a61152cd74209c28641199c82855>754c04953c261072fa367f4104e3deff082d9484_1,usage,yes,Slice culture protocol prepared as previously described
b77e929364ead9d331bc7881276608300c550f09>3bb880ed576810fbdb25eea236447d35b998f9e0_0,usage,yes,Reference sequence set from cited works used for assembly
ba02f4f830d049fd5d2c0072f4a43cdb6090832d>ee40b43e4868bca485f0becfcc8b140b66bbae26_0,comparison,no,Result in good agreement with other PCR methods
cac7805b18ec01288fd9b6c614e5e53c7e07da95>2d29232e26b4d956eb82bfb05fbcb7b62fceb10b_1,usage,yes,Health Action Process Approach model utilised in study
4ca143a333cae66e08397016280e99ec9f3c2816>0059e599d7cc01f430427c03402f1309d714d1c4_2,usage,yes,Flow cytometry technique performed as described previously
7c08f12e883125df92aca4848c81bbe5bc4a8eae>14731aaa113d30bc5e37bee4af8e5f6462ce5f19_5,background,yes,States prior established finding as context
8e8e19bf6e9d7bcf921e91f369a140da2e86bfa3>None_0,comparison,no,Explicit comparison of findings to cited study
2ba3516e8bcd3bb9572f0a0e06a1de51d864055c>None_0,comparison,no,Own results explained via prior animal study findings
343f8452a462c855e90e2197a66c71613f09a8ad>88009fb591e3477c2cacfdd71efef0091576a1e0_0,methodology,no,Describes model adaptation approach of current method
ec78f571979c45a5ba3ab3092a0d9c207604e534>0ca4065e31ff3c3431bb420298143f6c8d4c420d_0,usage,yes,Cost-of-illness approach directly applied to evaluate costs
f1516affaec39fe1a54e3a988094d4ebbecdde9e>1e522816471854cfc37dfb925439b49019c5b2e9_6,background,yes,Describes what other cited studies did with ML techniques
403be1b4e5ac775d46700814b76eedce4be8441a>0f3ab6835042ea45d2aab8e4a70151c11ca9a1d6_5,usage,yes,Model parameters set based on cited work's reported values
