dataset_source,split,paper_id,citation_id,section,citation_context,citation_topic,cited_reference,label_coarse,label2_scicite,classification,classification_rule,classification_method,is_key_citation,source_marker_type
scicite,train,6f25090dd47ee7aedee6ddca8489e5613d8f7fa4,6f25090dd47ee7aedee6ddca8489e5613d8f7fa4>1366ce12702c944132d001687411010c2f899bf2_0,Discussion,"Our observations, showing increased sIL2R levels during acute exercise, are supported by the results of others (Baum et al. 1994; Dufaux and Order 1989; Sprenger et al. 1992; Tilz et al. 1993); together these findings suggest that elevated receptor levels during exercise could bind IL-2, and hence down-regulate IL-2-dependent cell-mediated immune responses by reducing free circulating IL-2 levels and/or mitogen-stimulated cell proliferation.",,1366ce12702c944132d001687411010c2f899bf2,result,not_supportive,comparison,default_result,heuristic_rule_based,False,explicit
scicite,train,f8d81a9b7e4083024fef36d89cba85f1fc2c7842,f8d81a9b7e4083024fef36d89cba85f1fc2c7842>5afb71774fc0718a25156179281edaa7a330c9c0_0,Discussion,This last observation is in line with another study that showed that the number and size of polyps influence test accuracy for detection of advanced adenomas [16].,,5afb71774fc0718a25156179281edaa7a330c9c0,result,not_supportive,comparison,default_result,heuristic_rule_based,False,explicit
scicite,dev,2ba116e393bc75d3dd151a81218c50ec9aca9126,2ba116e393bc75d3dd151a81218c50ec9aca9126>a77404f1db62c674230a389e656e5ab35b58f18e_0,Discussion,"This latter finding complements the dyspnoea results seen in VMAC and the VERITAS trials.(4,5) Both studies demonstrated large improvements in dyspnoea with both arms of the study.",,a77404f1db62c674230a389e656e5ab35b58f18e,result,not_supportive,comparison,default_result,heuristic_rule_based,False,explicit
scicite,train,9501571bc1e436ce1c36d2b62fdb3c8767c93661,9501571bc1e436ce1c36d2b62fdb3c8767c93661>702757e8d5b16704d1e0a0f2351cf393110603bb_5,Phrase Sets For Text Entry Experiments,"[23] emphasized the memorability of phrases, and proposed a method for sampling memorable and representative phrase sets based on a multiple regression model.",,702757e8d5b16704d1e0a0f2351cf393110603bb,method,,methodology,default_method,heuristic_rule_based,True,explicit
scicite,train,d7826c58354a979e9fa052f6e19bef4a8ab65f06,d7826c58354a979e9fa052f6e19bef4a8ab65f06>f7d7c5e9c19c62783efe129f6c612bd8f31e6a88_0,Results And Discussion,The ENCODE findings were recently expanded by Xu et al [42] demonstrating a major role of histone modifications in developmentally regulated globin gene expression.,,f7d7c5e9c19c62783efe129f6c612bd8f31e6a88,method,,methodology,default_method,heuristic_rule_based,False,explicit
scicite,train,9748b7d6184c8e604c5fef5b56bf145e9739e47f,9748b7d6184c8e604c5fef5b56bf145e9739e47f>344424ebb831a25317094149d174c3b18eaa31b4_0,Discussion,"Similar results were demonstrated for the identification of Haemophilus somnus from naturally infected bovine lungs (Tegtmeier et al., 2000), which emphasises the need of alternative detection methods to complement the culture based at establishing a definitive diagnosis.",,344424ebb831a25317094149d174c3b18eaa31b4,result,not_supportive,comparison,default_result,heuristic_rule_based,False,explicit
scicite,train,21bd7d69cc8b712ccb6fc542c09bc4401dd43570,21bd7d69cc8b712ccb6fc542c09bc4401dd43570>f400a5c8b531455faae6ed2bfac2093fad8c6c4d_0,Discussion,"TPC, TFC, FRAP, DPPH, and ORAC values were slightly different from, but comparable to, values in other reports (Cardador-Martinez et al., 2002; Heimler et al., 2005; Xu et al., 2007).",,f400a5c8b531455faae6ed2bfac2093fad8c6c4d,result,supportive,comparison,comparison_cue_or_label2,heuristic_rule_based,False,explicit
scicite,train,b4600f3270e040eedacd8619c1400a77ab001ef7,b4600f3270e040eedacd8619c1400a77ab001ef7>fff94a0ce14254174dfc1a313b6af1b324b8a21e_0,Methods,"The tool differs primarily from the original CHLT-30 in that a Bdon’t know^ (DK) response option was included for each item because in pilot testing of the instrument, respondents did not feel comfortable guessing and preferred to indicate they did not know [25].",,fff94a0ce14254174dfc1a313b6af1b324b8a21e,method,,methodology,default_method,heuristic_rule_based,False,explicit
scicite,train,887281910e39c14ab986cfb8543b2230ca9a9599,887281910e39c14ab986cfb8543b2230ca9a9599>bd9c815efd811ac826d99e2dcdc94fc1fcaa43d0_0,Discussion,"Many authors have replicated similar results with this technique and supraclavicular nerve grafting has become the standard surgical approach for these patients [3, 8, 11, 20].",,bd9c815efd811ac826d99e2dcdc94fc1fcaa43d0,result,not_supportive,comparison,default_result,heuristic_rule_based,False,explicit
scicite,dev,d9ef5d1cb543d0f1330908b36f7106f23cbad404,d9ef5d1cb543d0f1330908b36f7106f23cbad404>ae7c65d4d7710bf5f36309faea886648f9a51d4a_0,Discussion,"Our results are consistent with those of a previous study conducted by Mulholland and Capone (2000), which showed higher N2-fixation rates at early exponential phase in Trichodesmium sp. and lower rates at stationary phase.",,ae7c65d4d7710bf5f36309faea886648f9a51d4a,result,not_supportive,comparison,comparison_cue_or_label2,heuristic_rule_based,False,explicit
