citation_id,citation_topic
b0157da1c54e2e26136c7f377316a64a7ea9dca4>74cdf31dcb044b0231d300b879d0578c6f37c65a_5,hippocampal function and episodic/everyday memory link
773d429acef670892946509443e5829a1fa73075>6276589a00316d436f8eb24e7aebadead5fa4700_0,DNA methylation levels in F1 hybrids
4b5bf14cb396b8665f76d4ed2e91bae687940ada>c307afadb6e108dcf2b4166a098342290960f3df_3,miRNA expression regulation by LSO and SFO
9e7f908a5920abd41fcaea2fb1296abca338f48b>9bc175f9377c4d2bee5e1353ca04508f4f411d8e_3,central pattern generators in human locomotion and upper limb
01a554b159b4b988fab2a9834ba80239d641f8cb>81c27abf9224eb014ef95cac6cd583de3d6ac202_1,pancreatic cancer heterogeneity across patients and tumors
4b40bf5ea0a2ded9d1f651c4d07bd5a5ab04fc73>daf678e8c63a4971516cf163fdd8178f3ae6b832_14,monitoring duration needed to accurately measure MVPA
90e3135b8b3ae3871c2d272a5971b703174bcd96>466e2d457c348272f138f0aa48618c85b563a3fc_4,online norm-deviation reactions focused on individual profiles
01da7ab3e60651d06ec5310b01b37de15209cffb>04b58bb061196d566acb2985659445f7a5985be2_0,SOM-based clustering of web pages by browsing patterns
d765fbc079a4e59888ecc22553114806a7f73b44>0ff285d6a0f8be60a710fbb97a800f6ca101efe2_0,JTd findings in FMF-amyloidosis and uncomplicated FMF
b067f0d6b86875639c6cbd568cf0077124e64dc7>420c1e183e5ce4e45c9c14075b925974a5d55d3c_1,centrality measures evaluated for influence maximization and gatekeeper nodes
d21ed6a2508cd5081910f966da8ffbf8a601436b>51523a9c19398e4ee1aaed797506b4b14244b510_0,Continuous Performance Task for attention measurement
2f7af7e53f4afa524a46fcd7b9cf51b6cf8845b2>None_0,dynamically frozen phases in binary perceptron and spin-glass models
325d145af5f38943e469da6369ab26883a3fd69e>189355bff03076cc5bddaa11239626051931144d_0,comparison of algorithm variants against recent and concurrent work
d9f3207db0c79a3b154f3875c9760cc6b056904b>2cc6ff899bf17666ad35893524a4d61624555ed7_5,kin clustering reducing territorial maintenance costs in breeding females
d39371afd5346a0ebff9d98942fcb23bd1a7926f>3c04bfd14d84508675d2447cef8eb1a0d1ee0b51_0,prefrontal activity decline during motor learning in young adults
65eeeb6f3616378f2228518d6e52d7a9836726c3>3d0c3fb377e7720d041418e6a8aa4c2268a70eee_0,tricellular tight junction protein localization in cochlear cells
11dba738253fd6d6461fc50e825b1fec7f94272e>15b2c44b3868a1055850846161aaca59083e0529_1,graph-based semi-supervised framework for crowdsourcing consistency
179b42b781c55f234c76b3bb9a0461af755dfe51>21c16c890d69aaa35bc2879a5a7a684ef5217260_0,LSI peer relationship domain as child social functioning measure
0b37ac4deff5ecdf1ea165551c454f30f2e2716e>5f1c1f1ae2bad91e1cfa45e29df8295430dc95fc_1,work situation factors contributing to AOL occurrence
1c8068bf437cf079a10c6c8f9f249bca3237fb5b>27b7b40057a661888d1e668f0c74b44da5e48f61_0,exponential growth in publication counts on PubMed
6863836841420e166a479c8923f4c809b0d40b0c>726f24b20cd8171375cd43e9f183e90e8fa8a075_3,prior study on CY-treated broiler chick brain effects
8650ac64efddd40a6c934d492a3461b62b7817cd>e66a13c353f9fb200d8186cfa86e4d78c2cfe5c1_1,bupropion mechanism inhibiting dopamine and noradrenaline reuptake
4ca8a58e083432d7c102d5b09b16cdf36c2ec6bb>58fce3c879edba92827c7bb42a2091956e0b926f_2,hippocampal region linked to memory consolidation
cf627c9411e3bf3e67f23df5d5741ed48490a152>3d2c9ed378b475d7b8c2497ee35c17cb4397c3b4_4,variable cell body and capsule size of C. neoformans during infection
c89c24eeb1d89b053434636c27d263c19bd3f3d1>705be404cc29f8bc30fbfc45f5ff79657a037b90_0,ErbB-3 receptor recycling instead of lysosomal degradation
5fe1580f2b0c0382aba9257b41b8b42ea5151089>e4398ca801ea20cfc32d174f6ee7b013d2d77ebc_1,reactive oxygen species involvement in salivary gland hypofunction
e12c5f58b9e85ef4f8e92b573c8b3329b2d22713>078146f48f0f34d0f60b38ce1b7b40c791c06264_2,AmB molecule orientation change during monolayer compression
52d3a25781a4ce2ff4f7ccd85a3bee74ce8ebc95>ef9fe70c411e47e908a55d34b8a223d8cca1179e_1,alcohol myopia theory and risk-cue processing during sex
f104a3a2693ee78c2933f67f611a344bc6e1d987>11877ad1b3e5ccebbdf02cbe6c6015c82661e550_8,design science developing new solutions vs explanatory science
50f1c3e5a5d82fa99365f00497cd9167896dd091>10847bb1f6e63f5cef6116ed2a0fb7d3b0a7881b_1,RPP30 primers used for qPCR normalization
e84a7935ed5ef6fd17045e9302eba27a3e0d9593>df9322e1abbd7993eac97c2c30336cc8e1199ec3_1,chlorhexidine failing to eliminate P. aeruginosa growth
515ed59e5c11ee10b60e6752c318564c80f897b5>ee9aaed1de1ca447550254d1c473be311cdc334b_2,DENV replicons expressing secreted Gaussia luciferase reporter
e52cbdf015f10dfbe710f358a82ac4a0d4e3f48b>c4082a5693b83b5b3f53f9bcd21a5cfc1591b93d_0,formal definition of the sensing problem for sensor fields
ad75e7ad197c66bf9f1ea1787e0d981b001a261b>a294b752e32c9a673553685742e561316f8d7ae1_0,reduced ammonia excretion and low urine pH in insulin resistance
f1a11165ef394e3987acc4cc0056af620790b5fd>631b5d6071ec74833d779b6d5702c25a6b2be9cf_6,LTD induction differences at facilitating versus depressing synapses
7bd4d852a85a5499d01fb0073de471d0480d0964>06e639a3a5bec03e0218014c07d210a0007313af_2,no gender differences found across orthodontic/dental studies
8c8a85cfb87618bddbd639110bb07c47b5f6c0a1>08ac591d417dc808c35e64106983034f9100ac4d_4,BWW ontology extended by Wand and Weber for information systems
73a9deb182998f92cbeff65016346778d4953381>178a3dcdb4244d914b71d7c86cd9e0e588a491c6_10,docking analysis of ligand binding to COX-1 and COX-2
cfbaf43f37cd9d7ff3c7cd66ed17f9c029feb6cb>5a293e95b011cd143e393d0816831ae6f48a117c_3,perceived unfairness of organizational policies toward in-group
89ff1ce57324b4ed1672ab1acbc5ac621ee29d57>4314a4cf8eb0b4430f801d8ef838f7d9f7df15fa_0,ground control points used for UAS-based image processing
e4ad0758d54e752c4f60be72200e80badf799409>b3e664f4cf1fa46fd05e1d40c28496b5e9b38fd8_0,nuclear mitotic apparatus (NuMA) protein complex
