citation_id,new_classification,changed,rationale
47851e108a5855cb0fd375c9bdd039f78cc16c25>02bf68795fa74f0984701fa84df877a27dae6a2f_7,comparison,no,Model interpretation consistent with other studies' small-effect findings
db331d97173d6fc535e4ab19b702dabd3f0020cd>b80f8d232dca88879acbeca67e624429a653612d_0,usage,yes,Survey instrument directly reused from prior CHAS/AzPRC surveys
4c6d41b5241a2d80b993632d7e89acdb9fedef74>45ee8db9be57b97522566b1d1f6d2433cc464b72_7,comparison,no,Subscale results converge with two prior studies
acfb184e462ba7d699472a12b257aa597cce4866>977f5797d6c37ab3084e4e7ee0024ecfcc94384d_0,background,yes,"Describes cited DWT/MGG method, no adoption shown"
788ba52c62ca9c2a27753b90ee92b9faa3c7092e>bdfafd0b03fce04c4e19b87b1456bf3eac8d7114_0,background,yes,General summary of prior DNA methylation age findings
9fa29370d26df3116dfd726c06aed496b446ab62>8b30f0bc638f461b51aeeb2977835e8e5d7799f1_0,background,yes,General context on GIS use in health planning
2a98ba06c5658b9bdd1d1fb43e23d08fd9bdd643>374eda4bcee1942a072cd2749e62065f2c6e131d_0,extension,yes,Mouse organoid culture procedure adapted to human system
9a4e129217b84e7a2b4f3dc82eaf681927ff5d7d>35e2f446f48838fc036f376e5ff15e1835d9b596_0,usage,yes,IADL scale items directly used to measure status
6c093ea3375ed626ea1c3c1cffedacd03500bab1>8880a66d44ef539eecc530ec9978a719b84eec9e_0,methodology,no,Adopts standard five-fold cross-validation protocol
1584d1f87d28a6f8687052808650b34d13546752>5fd7393ffdc4c5fb92e23c4dcc1a5e3661366955_3,comparison,no,Confirms mortality risk factor findings from other studies
df45d9515a4a91a800751b8f852e597846716267>f914bf1c0b7c5143c50e57e1c26c67cd3844e9d6_0,comparison,no,Similar phenotypic relationship results observed elsewhere
b29368da1bf7b51e29cf1af18e34f3077534a0c4>639168baf699b6e3b61860ab007d1a2e2d36a931_1,background,yes,"Reports cited study's hypomethylation finding, no reuse"
0c5ebe554c813dafaaac59aa766b1e101b9fbda9>b6e00674060c89d165fcc14b5ef2cfb2de5c401b_0,comparison,no,Notes differing mutation location versus prior canine study
cf11cc3a588407ef8195e3f8b9210f28109bd818>edc69022d628eee2ff82c8b2d28c5d59d5fa095d_0,background,yes,Describes cited tumor model simulation capability
b79a0acb0cfb01add22c0278f67c037b1fa1ddcc>3fbb1faf7494daa14e647dda247689fc892f671e_2,comparison,no,Update rule shown consistent with general EWA framework
bd36544bfecd5b9ea58d0eab186968b3c9d181aa>9a01ad5d531d9662795f4d65fdf4c06116dc871c_1,background,yes,General survey of 3D-CNN application areas
eadecd53e3e032364dd6e60f962c778bd15ed878>d162e4225a1e517fec148e300d51ed8e9b37d9d2_2,comparison,no,Compares flow rate between symptomatic and asymptomatic groups
342ea82f11b98024daf36247ad1691e80af71851>1f7430e2477318a88e346313347f7c936f699c8a_0,methodology,no,HAART adherence assessed per established AACTG methods
055fcbac0de4a5043af098cf633914204725bc36>75a63851b88a19279da35a94b531247371eca9f4_0,comparison,no,Advice results consistent with prior studies/guidelines
4a695f55ff3ba9490a947f934164cd959231aa3a>12707ed35c44575b9d1a9c920eb956e0477cee39_1,comparison,no,Contrasts cited label-complexity bound with own scenario
73d9528b58d695fb30f9b06ba74e8030dd04eee7>6ecc1ee4fb36aeff2b4f9a4d02c2a7deb62645ea_2,methodology,yes,Prior kinetics/structure data used to set model assumptions
9e92fc73392d4aea262aa6bae77ab379c79b37b7>2521ee9b9ba1bf7dfd4341259b97f383827fecc9_3,comparison,no,Concurs with prior tibial-side bone defect findings
2ff526df4a09644203ebd6a840266371102dbb50>f11ff9476a231b8be18ac60133ee70eca6219c12_0,methodology,no,Stimulus presentation design follows prior study's paradigm
c9ae22b3504f6b5fed9cd722846305ffb8f387ba>aff808e28c2fb71f18420e09a3fd717a6df29f74_1,comparison,no,PUFA supplementation results in line with prior findings
8a053f111365f64df09020c2f3011340b9806868>6c034d09bbda51ca02701364b0d7737e1fa63365_6,methodology,yes,Construct design based on prior construct's design
50f30fca54f8b4e14d831a1bd096ccb3bd67d01c>882405d750e04e12d873a472394415b99a8f7ff1_0,comparison,no,Cluster solution consistent with prior clustering study
84c4025bd10b6bc0084cb5f12663e6e2a0cb2545>16236916442773633a137b440ba9e50d26e0484e_1,comparison,no,Positive effects consistent with other self-management program studies
00d4f243c6e8aac43231b3c1cf8f818263fa9cd5>f21f18f8c004f73e0cdaefacec546636ddd70968_1,methodology,no,Cloning strategy follows prior digestion/ligation approach
