paper_id,citation_id,section,in_text_marker,cited_ref_number,cited_reference,classification,citation_context,citation_topic
algorithms-19-00612,algorithms-19-00612-C001,1. Introduction,[1],1,"Visser, R.; Dunaiski, M. Sentiment and intent classification of in-text citations using BERT. EPiC Ser. Comput. 2022, 85, 129-145.",background,This means they miss the more subtle intellectual influence of a particular article or dataset within scientific discussions [1].,"limits of author/venue-level bibliometric indicators (Impact Factor, h-index)"
algorithms-19-00612,algorithms-19-00612-C002,1. Introduction,[2],2,"Barchane, M.; Zahour, O. Assessing the Quality of Scientific Publications: A Thorough Analysis of Citation-Based and Content-Oriented Metrics for Evaluating Research Impact and Scholarly Contribution. Math. Model. Comput. 2025, 12, 1109-1120.",background,"Indeed, this limitation aligns with our previous study [2], where we suggested a hybrid framework that combines citation-based and content-oriented metrics to assess the semantic depth and contextual quality of scientific publications.",authors' prior hybrid citation/content quality-assessment framework
algorithms-19-00612,algorithms-19-00612-C003,1. Introduction,[3],3,"Paolini, L.; Vahdati, S.; Di Iorio, A.; Wardenga, R.; Heibi, I.; Peroni, S. ""Why do you cite?"" An investigation on Citation Intents and Decision-Making Classification Processes. arXiv 2024, arXiv:2407.13329.",background,"Consequently, with the increasing variety of research communication through journals, evaluation systems need to move from a basic citation-counting approach to a more context-sensitive understanding of scholarly impact [3].",shift from citation counting to context-sensitive impact assessment
algorithms-19-00612,algorithms-19-00612-C004,1. Introduction,"[1,4,5]",1,"Visser, R.; Dunaiski, M. Sentiment and intent classification of in-text citations using BERT. EPiC Ser. Comput. 2022, 85, 129-145.",background,"Some may indicate endorsement, methodological reuse, theoretical opposition, or simply contextual mention [1,4,5].",taxonomy of citation functions/intents
algorithms-19-00612,algorithms-19-00612-C005,1. Introduction,"[1,4,5]",4,"Cohan, A.; Ammar, W.; van Zuylen, M.; Cady, F. Structural Scaffolds for Citation Intent Classification in Scientific Publications. NAACL-HLT 2019, pp. 3586-3596.",background,"Some may indicate endorsement, methodological reuse, theoretical opposition, or simply contextual mention [1,4,5].",taxonomy of citation functions/intents
algorithms-19-00612,algorithms-19-00612-C006,1. Introduction,"[1,4,5]",5,"Mifrah, S.; Hourrane, O.; Benlahmar, E.H.; Bouhriz, N.; Rachdi, M. Citation Sentiment Analysis: A Brief Comprehensive Study. J. Islam. Ctries. Soc. Stat. Sci. 2018, 3, 145-156.",background,"Some may indicate endorsement, methodological reuse, theoretical opposition, or simply contextual mention [1,4,5].",taxonomy of citation functions/intents
algorithms-19-00612,algorithms-19-00612-C007,1. Introduction,"[3,6]",3,"Paolini, L.; Vahdati, S.; Di Iorio, A.; Wardenga, R.; Heibi, I.; Peroni, S. ""Why do you cite?"" An investigation on Citation Intents and Decision-Making Classification Processes. arXiv 2024, arXiv:2407.13329.",background,"Accordingly, understanding the function of citations, whether they are background, methodological, comparative, or critical, has become crucial for creating more accurate and semantically rich measures of impact [3,6].",need for citation-function-aware impact measures
algorithms-19-00612,algorithms-19-00612-C008,1. Introduction,"[3,6]",6,"Zheng, M.; Shen, D.; Shen, Y.; Chen, W.; Xiao, L. Improving Self-supervised Pre-training via a Fully-Explored Masked Language Model. arXiv 2020, arXiv:2010.06040.",background,"Accordingly, understanding the function of citations, whether they are background, methodological, comparative, or critical, has become crucial for creating more accurate and semantically rich measures of impact [3,6].",need for citation-function-aware impact measures
algorithms-19-00612,algorithms-19-00612-C009,1. Introduction,"[7,8]",7,"Shui, Z.; Karypis, P.; Karls, D.S.; Wen, M.; Manchanda, S.; Tadmor, E.B.; Karypis, G. Fine-Tuning Language Models on Multiple Datasets for Citation Intention Classification. arXiv 2024, arXiv:2410.13332.",background,"The classification of citation intent addresses this challenge by analyzing the textual and rhetorical context around each citation to determine its functional role [7,8].",definition of citation intent classification task
algorithms-19-00612,algorithms-19-00612-C010,1. Introduction,"[7,8]",8,"Faerber, M.; Jatowt, A. Citation recommendation: Approaches and datasets. Int. J. Digit. Libr. 2020, 21, 375-405.",background,"The classification of citation intent addresses this challenge by analyzing the textual and rhetorical context around each citation to determine its functional role [7,8].",definition of citation intent classification task
