citation_id,new_classification,changed,rationale
6df6ed37f6b577ac94aa34c5ee2c3b18e11a89ca>7ffbc1520ef58a64df5632d4a8b31bd45decdc0c_13,comparison,no,Neutral/supportive comparison; matches default label
a6f61ae614561bc646fca841d9ebca0e1da7c3cf>8362e8d7619cf4ed02e733aac1a273ba31eb4ec4_0,usage,yes,Weka toolkit directly used to run comparison algorithms
4fab59bb5714ba61c65e7f0de2eb11afbc7b0b8b>50097fd3113081a1f3f639d5c73e6650205610ff_7,comparison,no,Neutral/supportive comparison; matches default label
cc74af93443713183e25f8f1a34e2a9a4d2bdaec>None_0,comparison,no,Neutral/supportive comparison; matches default label
b66eb0bfa520726f50d86a62388c086c7046a6cd>d8431c25f60a51517a29162ed70df2de35ee156f_4,comparison,no,Neutral/supportive comparison; matches default label
d45b18f6600ac7e4b23f6c8db773206725b36897>ef6024c89420ef17fa3432c2b744f4c7634a795a_0,critique,yes,"Finding contradicts action-based IOR explanation, a genuine theoretical conflict"
d7b37e0c249fe28dde313bdee323024f73105570>1e24d9ede4e65ed14c6fa99a7bcde5adecfbea47_0,comparison,no,Neutral/supportive comparison; matches default label
5a9ba9e9e6bebe352f02f3e3f7b949a05455c2c4>a7ac7172a4cf4f0c922cea8091af0d28040e6190_0,comparison,no,Neutral/supportive comparison; matches default label
e812a27a885a75566d1e676e3819f7f1d7a8a1d9>33d5833ce77cfbcc2f792d6de8cde6bd295c3e6f_15,comparison,no,Neutral/supportive comparison; matches default label
d2bcff78be492e5b3579639d8c60f26b6ff1a864>15af0de1ee98e55da11f26242c511a82253cc898_11,comparison,no,Neutral/supportive comparison; matches default label
2bb2505c500ea1382402cd8bf423a8a8715e1f0c>7e98ff7d7eddadc7f32a776a66585475e6d236f4_1,background,yes,"Purely background fact from prior studies, no own-result comparison"
a9b75e16214780f6a64d6dae4bd666fae438d044>6a1ef2127bc98d7c1f51095f7373cdea28ffe903_0,comparison,no,Neutral/supportive comparison; matches default label
440cd84e5d0b7f825bb7c37f0bf5d08ae74b05ab>aaa755ce1aede91735d14134e213374a11df5ee7_0,comparison,no,Neutral/supportive comparison; matches default label
f5eadf9b0b87b853dde127e055cb9c8512d14f43>a8be8514b80bd34ed3ab051e49222842b6dcab0c_5,comparison,no,Neutral/supportive comparison; matches default label
b114747c7e84e8b93080a352eec0835547ee75b1>aa6cb49e972a4646479bb375bc1b6ecbca332b6c_0,comparison,no,Neutral/supportive comparison; matches default label
3fdc48a5eb9ced6f0c6ac9f5fa72c88f0dec1a62>c892d598f18aa3e57b27ada1df93c71ce0634af5_0,comparison,no,Neutral/supportive comparison; matches default label
6cbd291523ad870ca223d02dbdc08a3cacf2b517>077cf67ea0492247b46b81fb04842daa5b799b18_3,comparison,no,Neutral/supportive comparison; matches default label
a892e8bd33eab511116c12fa1bcb15a4091e0bc3>fcfd1817ac18bcf9e322c81bb4ec25c94f28a356_0,comparison,no,Neutral/supportive comparison; matches default label
3be446d3a24e2b207be75896b999c384802578cc>cd42df5fec4f169dde3d3b587101c3f4c209c87b_0,comparison,no,Neutral/supportive comparison; matches default label
c6248b028f089c40b876e53359bad4c91e88ee93>02458c693c3c32d61c5a90f4b025118ae7f9cd64_0,background,yes,"Describes cited studies' internal comparison only, no own results"
79f3aa76dae3d2be5a55df36c3df6c23ff031d70>2b2d26e39de2b0e387c764cdd4071ae8d5627c09_2,comparison,no,Neutral/supportive comparison; matches default label
a0a7ca9195f5867f993e35b887aef8e8ad474e98>934f2103c1907a26775459dc80d62fc80e500909_0,comparison,no,Neutral/supportive comparison; matches default label
55a99872437895aeded5e7211ef8c36096f859fb>265ebf43b0dcd4f194ad4c64344d6596e96a2d1b_0,comparison,no,Neutral/supportive comparison; matches default label
8cb19a542da5f3f5a5250a6cd542478480994e55>435ccda1ceb8d3b95e3dc3a745d963fc09847a54_0,comparison,no,Neutral/supportive comparison; matches default label
fb3c9c4789d6701796c55beffaabd09a55774d3a>0f20a8b7936a5bc6a3069a820ecf551b1f70fc29_0,comparison,no,Neutral/supportive comparison; matches default label
717c3ce3821cb6ca52aeac35ee512e03618c1821>b0950fa5d003433bfbaf63fd057357e5b3e7bcc4_0,comparison,no,Neutral/supportive comparison; matches default label
3130c17418add1883ca4714b3407ed393617c4d6>077740cfcd5efbd90a95c432171be73fbd2369d0_0,comparison,no,Neutral/supportive comparison; matches default label
77cc5c7417526334a60494acd658dcbf377cae1d>ced7e3c1f9c912dca5751664c86a7587b58b0854_10,comparison,no,Neutral/supportive comparison; matches default label
8d70797a61f806b17e9e9991599f084b1f46cee6>b4b4845b9aae00e93069896ced1ff2c49fc21d00_0,comparison,no,Neutral/supportive comparison; matches default label
cf628d6315e96b5c58a8ee524c0deed9cb4219c0>455499e7151102347019321ff965463df6ebba6e_0,comparison,no,Neutral/supportive comparison; matches default label
e7ec8678f2dc3eb9d32fb14e3bb61c0f7c5f0b69>1fea527b6c074d29cb5ac1dfa237aa9beb415a3c_0,comparison,no,Neutral/supportive comparison; matches default label
feb0101e02e4a2b03bbbe630524e80e74b59be17>28324f52850a650a772dc4e5e6edde402512a15f_0,critique,yes,Explicit 'not consistent with' contradicts prior H2O2 cell-death findings
fc2fa61db68563e26daafe962633ab2b7e8e8b3d>18dba91edf38fe354fd3a1123737185c841be419_0,comparison,no,Neutral/supportive comparison; matches default label
3f50975c58d861e4fbd3b4fd065f0658b1aa1e10>d16a1d95e6947da69797bb0cb59148057174e35a_1,comparison,no,Neutral/supportive comparison; matches default label
a85e4f7b525db5d52365ef8a0991de65dbfa810d>d339bbeac30f6c5809ce110d5bfa98d777407187_0,comparison,no,Neutral/supportive comparison; matches default label
3cb9f85428a599a7d2f82668950230856a942848>e51f2d5c6c58f22ad2142e1c82441d88db886a83_0,background,yes,"States cited genotype-phenotype finding as background, no comparison"
fba72bb97c676e28781bc5bd5145ef55fadcc622>a362afc56ef3d3d2b9912e79735d6eff47e9c379_0,comparison,no,Neutral/supportive comparison; matches default label
6f1bbd958d1a132a2f036e081f696d1b7083b87c>1477fd3620a1fe673b6deaf2debe83f1a43ce393_0,comparison,no,Neutral/supportive comparison; matches default label
45701ff05d3ed583a658f18aa998944c1d4eee7a>f89d87e5f4d58e9bb7d576ec6ae34a84240b9c5e_1,comparison,no,Neutral/supportive comparison; matches default label
81122f9633df91e6dcbb3fa30f524502045bb41f>ff14ce2a4f2a04f3b6c2b8beba500ab5b060c6f4_0,critique,yes,Cohort studies show contradictory 'whereas' effects by sex
1588915c7d62c61d254440ce1b8d20808317e402>3d9831ca557099762a273c29cff6fba773183df6_0,comparison,no,Neutral/supportive comparison; matches default label
e6c61f00e3c75bc1dcbb9886325a4a25801c22da>93dc55c5f3c4b883c2f369a2b1edb9eb8e6bad48_0,comparison,no,Neutral/supportive comparison; matches default label
c372d01f41c9af19d34cc8ad3745593740fb51d4>c428493c4e5af25f2c04bc5d139e4500352cbf7a_1,comparison,no,Neutral/supportive comparison; matches default label
3871e485133b56f8bf0d7178dff6c41d8e33d0de>d1340fb212a2370e3dde6e15e4129477d22b1b53_0,critique,yes,"States assay 'not particularly useful' for enterococci, a limitation"
7f421b51cc6b9eb34d483d1490551022265b88c9>7a2cde124990f039d6e95cf543e2977ba9090343_0,comparison,no,Neutral/supportive comparison; matches default label
6060c15bdb3db2995e464a336a34cc6f74f44018>604763a1c6b7bfb78a9ae8af4e35f92103a4883b_4,comparison,no,Neutral/supportive comparison; matches default label
7165140a23c3e6be08497da2740f7cd5bd543f41>f5f3d8aa41e2dbf5457f43ef4dbe6d281072ed71_5,comparison,no,Neutral/supportive comparison; matches default label
5c7391dd9eaa13322b03100ab6cda6479ee1b9bf>None_0,comparison,no,Neutral/supportive comparison; matches default label
87174dd7a8787096c48a107d8f7ff7c6bef2ccad>None_0,comparison,no,Neutral/supportive comparison; matches default label
45edff55835cc98c06c893d5bed2a8dc2b308655>1e526b851137c3deca29c1cd0e3c852ef7744d3e_7,comparison,no,Neutral/supportive comparison; matches default label
ae1eadbbed754de9dce7abd12c3a156ea280af1f>c80670357256642a57afcd379bd24650ed3f091b_0,comparison,no,Neutral/supportive comparison; matches default label
b94204e350ed30d9e045000cd05973f32371d0c6>583d970101c88ce2386798f1896cae49d6e25b8e_0,comparison,no,Neutral/supportive comparison; matches default label
9b6bf36d83e8821d4332ea0dcef99e2f3142390d>4a519831c8948c2374d1e1195c881bc0b994a427_0,comparison,no,Neutral/supportive comparison; matches default label
c26ba33c603e72059cf602e5f96c1b1c5e1531b6>None_0,comparison,no,Neutral/supportive comparison; matches default label
4c6d41b5241a2d80b993632d7e89acdb9fedef74>45ee8db9be57b97522566b1d1f6d2433cc464b72_4,comparison,no,Neutral/supportive comparison; matches default label
34fc083130a3679c78c4031e999e1fa135c9179e>16f4a93c6415e83d09090ec9fcf467c7476bc92f_0,comparison,no,Neutral/supportive comparison; matches default label
f9e9bef98a81a43ce7b700822e03423273186029>7b2b2256858a4d7d4a273db9dd3a643b2fadc055_4,usage,yes,Cited dataset directly used to compute survivorship comparison
d56dbd05f5e9758ae7a74533dd32f80c30152d3f>dc524da44f3896f3d16d269fadcdaee18b950f46_0,critique,yes,Explicitly 'contrasts findings' with elderly-sample cortisol study
96d59f09d602d930beddbc2785972d443efa4d93>723a4b4f3019cd5a5f8546925d8cf4478a0d03b7_2,comparison,no,Neutral/supportive comparison; matches default label
291ca965a80c0b484e70533599b2898f3c9b7cf7>63daf1741972395162371e6e9bf12348828cfe44_2,comparison,no,Neutral/supportive comparison; matches default label
f15bc93c0361346b34e3b8d0bcb494f10715cd8c>a74a73e1200f2b7cb56cda1eec7f3d8f06ea6ba0_0,comparison,no,Neutral/supportive comparison; matches default label
