dataset_source,split,paper_id,citation_id,section,citation_context,citation_topic,cited_reference,label_coarse,label2_scicite,classification,classification_rule,classification_method,is_key_citation,source_marker_type
scicite,train,1872080baa7d30ec8fb87be9a65358cd3a7fb649,1872080baa7d30ec8fb87be9a65358cd3a7fb649>894be9b4ea46a5c422e81ef3c241072d4c73fdc0_11,Introduction,"However, how frataxin interacts with the Fe-S cluster biosynthesis components remains unclear as direct one-to-one interactions with each component were reported (IscS [12,22], IscU/Isu1 [6,11,16] or ISD11/Isd11 [14,15]).",,894be9b4ea46a5c422e81ef3c241072d4c73fdc0,background,,background,kept_as_is,heuristic_rule_based,True,explicit
scicite,train,ce1d09a4a3a8d7fd3405b9328f65f00c952cf64b,ce1d09a4a3a8d7fd3405b9328f65f00c952cf64b>b6642e19efb8db5623b3cc4eef1c5822a6151107_2,Novel Quantitative Trait Loci For Seminal Root Traits In Barley,"In the study by Hickey et al. (2012), spikes were sampled from the field at the point of physiological
robinson et al.: genomic regions influencing root traits in barley 11 of 13
maturity, dried, grain threshed by hand, and stored at −20C to preserve grain dormancy before germination testing.",,b6642e19efb8db5623b3cc4eef1c5822a6151107,background,,background,kept_as_is,heuristic_rule_based,True,explicit
scicite,train,9cdf605beb1aa1078f235c4332b3024daa8b31dc,9cdf605beb1aa1078f235c4332b3024daa8b31dc>4e6a17fb8d7a3cada601d942e22eb5da6d01adbd_0,Introduction,"The drug also reduces catecholamine secretion, thereby reducing stress and leading to a modest (10-20%) reduction in heart rate and blood pressure, which may be particularly beneficial in patients with cardiovascular disease.(7) Unlike midazolam, dexmedetomidine does not affect the ventilatory response to carbon dioxide.",,4e6a17fb8d7a3cada601d942e22eb5da6d01adbd,background,,background,kept_as_is,heuristic_rule_based,False,explicit
scicite,train,d9f3207db0c79a3b154f3875c9760cc6b056904b,d9f3207db0c79a3b154f3875c9760cc6b056904b>2cc6ff899bf17666ad35893524a4d61624555ed7_3,Discussion,"By clustering with lowly aggressive close kin (King 1989a,b; Viblanc et al. 2010; Arnaud, Dobson & Murie 2012), breeding females may decrease the time/energy cost of maintaining territorial boundaries (Festa-Bianchet & Boag 1982; Murie & Harris 1988), which could ultimately lead to increases in net energy income (TA) or higher allocations in somatic or reproductive functions.",,2cc6ff899bf17666ad35893524a4d61624555ed7,background,,background,kept_as_is,heuristic_rule_based,False,explicit
scicite,train,88b86556857f4374842d2af2e359576806239175,88b86556857f4374842d2af2e359576806239175>a5bb0ff1a026944d2a47a155462959af2b8505a8_2,Discussion,"Ophthalmic symptoms are rare manifestations of the intracranial arachnoid cyst, and include unilateral exophthalmos, visual field abnormality, decreased visual acuity and isolated palsies of the third, fourth and sixth cranial nerves [1–5].",,a5bb0ff1a026944d2a47a155462959af2b8505a8,background,,background,kept_as_is,heuristic_rule_based,False,explicit
scicite,train,df2f5d253798a83b31b1df8d4a343bdcdfeb492b,df2f5d253798a83b31b1df8d4a343bdcdfeb492b>d91f4ce0487619e1ff3f30facd959e2530bde365_1,Discussion,Recent studies identified Wee1 as a potential molecular target in cancer cells and the selective small molecule Wee1-inhibitor MK-1775 demonstrated promising results in cancer cells with enhanced levels of Wee1 (96-98).,,d91f4ce0487619e1ff3f30facd959e2530bde365,background,,background,kept_as_is,heuristic_rule_based,True,explicit
scicite,train,68746a4e82e33029804f135bd35a2bc42c68df26,68746a4e82e33029804f135bd35a2bc42c68df26>4fb0ebdfe25b15c4bc42d81b1338cfdb9f2469be_0,Discussion,"These problems combine to make early diagnosis essential and immediate treatment a necessity, even for the youngest patients [17, 18].",,4fb0ebdfe25b15c4bc42d81b1338cfdb9f2469be,background,,background,kept_as_is,heuristic_rule_based,False,explicit
scicite,train,5997ebb2ded3b4519db864d65a04fba82266e034,5997ebb2ded3b4519db864d65a04fba82266e034>e7b139d78c756155ac0937e8020d6004b60c6f9d_0,Discussion,"Also, results demonstrated that the molecular weight and G/M ratio were important factors in controlling the antioxidant properties of sodium alginate (Şen 2011).",,e7b139d78c756155ac0937e8020d6004b60c6f9d,background,,background,kept_as_is,heuristic_rule_based,False,explicit
scicite,train,91984c897f134f875ba9ffdac986a108b930be28,91984c897f134f875ba9ffdac986a108b930be28>3bb5bde8426dd630c536d04c1ad108bf6e966450_3,Introduction,"Recently, the light-induced method, which is based on the changes of surface wettability of certain materials [12], has been developed and provides amore convenient approach for cell harvesting [13].",,3bb5bde8426dd630c536d04c1ad108bf6e966450,method,,methodology,default_method,heuristic_rule_based,True,explicit
scicite,train,5550c4a3b899f2a493d77cdfff7d5121e6c15ba4,5550c4a3b899f2a493d77cdfff7d5121e6c15ba4>3d58af42e260a67f91f3d38f49eb2a80750817d2_1,Introduction,"Currently, with advances in radiotherapeutic, chemotherapeutic, and surgical techniques, limb-salvage surgery has become an accepted treatment [2–9].",,3d58af42e260a67f91f3d38f49eb2a80750817d2,background,,background,kept_as_is,heuristic_rule_based,True,explicit
